trim,category,neckline,subcategory,sleeves,price,rise,image_urls,padding,wash,waist_rise,print_style,fabrication,description,distressing,embellishment,fabric,fit,lining,colors,name,length,guage_weight,num_colors,brand,sheer_level
,Shorts,,N/A,,$595.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/atemp/atemp4004312867/atemp4004312867_p1_1-0.jpg,,,,N/A,Leather.,"These glazed leather shorts feature a laser-cut, scalloped hem. Slant hip pockets and welt back pockets. Single-button closure. Lined.",,N/A,"00% lambskin,00% acetate",,,Black,Libre Leather Shorts,,,1,ALICE by Temperley,
,Sweaters / Knits,,N/A,,$425.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/phlii/phlii2041512921/phlii2041512921_p1_1-0.jpg,,,,N/A,Fine knit.,"This two-tone, scoop-neck wool",,N/A,00% wool,,,Marigold,Embroidered Leopard Sweater,,,1,3.1 Phillip Lim,
,Suiting,,N/A,,$420.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/tibii/tibii4027925535/tibii4027925535_p1_1-0.jpg,,,,N/A,Stretch cotton.,"This cheetah-print blazer features a fold-over collar and a single-snap closure. Flap hip pockets 6.5"" back vent. Light pads at shoulders and 3-button closure at cuffs. Long sleeves. Lined.",,N/A,"97% cotton,3% spandex,00% polyester,49% nylon,51% acetate",,,Sand Multi,Cheetah Print Blazer,,,1,Tibi,
,Pants,,N/A,,$298.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/marcj/marcj4148716650/marcj4148716650_p1_1-0.jpg,,,,N/A,Sateen.,These slouchy paisley,,N/A,"64% lyocell,36% silk",,,Quasar Blue Multi,Mona Paisley Pants,,,1,Marc by Marc Jacobs,
,Tops,,N/A,,$550.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/phlii/phlii2039110167/phlii2039110167_p1_1-1.jpg,,,,N/A,Stretch silk.,This silk 3.1 Phillip Lim blouse features a beaded bib and a hidden 8-button closure. Raw edges at mandarin collar and at armholes. Draped overlay at back. Side slits and asymmetrical hem. Sleeveless.,,N/A,"95% silk,5% elastane",,,Mint,Tuxedo Shirt with Chevron Beading,,,1,3.1 Phillip Lim,
,Loungewear / Yoga,,N/A,,$98.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/enzac/enzac4007412397/enzac4007412397_p1_1-1.jpg,,,,N/A,Jersey.,This crew-neck jersey top features a vertical back seam and an unfinished bottom hem. Long sleeves. Semi-sheer.,,N/A,00% supima,,,"White,Frost Grey,Black",Bold Long Sleeve Crew Tee,,,3,Enza Costa,
,Vests,,N/A,,"$2,500.00",,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/kevor/kevor2005113203/kevor2005113203_p1_1-0.jpg,,,,N/A,Suede.,This suede moto vest features ribbed panels at the shoulders and at the sides. Snap details at notched collar and snap-flap pocket at front. Snap closure at detachable self-belt and snap-epaulets at shoulders. 3 zip pockets at front and zipped vent at back.  Lined.,,N/A,"00% goatskin,00% acetate",,,Cobalt,Sleeveless Suede Biker Vest,,,1,Kevork Kiledjian,
,Maternity,,N/A,,$196.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/citiz/citiz4012711027/citiz4012711027_p1_1-0.jpg,,,,N/A,Super-stretch denim.,These skinny-leg maternity jeans feature an elastic belly panel and 5-pocket styling. Tonal 'h' stitching at back pockets and subtle whiskering at front. Worn edges and very mild distressing.,,N/A,"44% rayon,29% cotton,25% cupro,2% polyurethane,90% nylon,10% spandex",,,Dust,Avedon Maternity Skinny Jeans,,,1,Citizens of Humanity,
,Leather,,N/A,,$595.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/atemp/atemp4004312867/atemp4004312867_p1_1-0.jpg,,,,N/A,Leather.,"These glazed leather shorts feature a laser-cut, scalloped hem. Slant hip pockets and welt back pockets. Single-button closure. Lined.",,N/A,"00% lambskin,00% acetate",,,Black,Libre Leather Shorts,,,1,ALICE by Temperley,
,Swimwear,,N/A,,$283.00,,http://g-ecx.images-amazon.com/images/G/01/Shopbop/p/pcs/products/mkors/mkors2004712867/mkors2004712867_p1_1-0.jpg,,,,N/A,N/A,Metallic bikini set. Bandeau top features ruching at the cups and boning at the sides. Buckle closure at back. Double straps can be worn traditional or crisscrossed. Bottoms feature ruching at the skirt overlay. Logo plate at back. Lined.,,N/A,"79% nylon,14% lurex,7% spandex,76% polyester,24% spandex",,,Black,Metallic Shirred Princess Line Bikini Set,,,1,Michael Kors Collection,
